,label,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10,feature_11,feature_12,feature_13,feature_14,feature_15,feature_16,feature_17,feature_18,feature_19,feature_20,feature_21,feature_22,feature_23,feature_24,feature_25,feature_26,feature_27,feature_28,feature_29,feature_30,feature_31,feature_32,feature_33,feature_34,feature_35
0,1,0.711626506,0.062502148,-2.680913941,-1.177912385,0.759158962,0.075971221,-2.3400926,0.255655962,0.101927535,-1.04555087,-3.195189702,-0.449580511,0.6710866,-3.094597959,-0.16042582,-0.768161665,-2.102774225,-6.291457444,0.334116437,-0.134005253,-1.776737396,0.765537446,0.332576068,-1.533460489,0.175435974,2.147259153,0.123102986,1.09548046,-0.444486027,-2.3400926,1.025222621,0.885469253,-2.402317588,0.701697715,-1.172482487
1,2,-0.943168987,-0.912122281,0.965643993,0.531298683,-0.43838169,0.584343964,-1.997108668,0.595748236,0.148369491,0.629950165,-2.465802798,1.722497702,-0.29407043,0.420820867,1.219136252,2.075405686,-2.014909691,0.363522184,-1.257950009,-0.160636218,-2.21164444,8.48704895,1.438300179,2.744127161,0.7730068,-0.334431194,0.735575129,0.563420458,2.11852271,-1.997108668,2.463171727,-0.913080655,-1.127192328,-1.733284475,-0.539452884
2,2,1.632291064,0.462689324,1.524462413,-2.24234423,0.429434579,-0.68951839,0.133827865,0.39486896,1.023538583,1.875745384,0.854379193,1.621848812,0.700255813,0.316186367,-0.281379007,1.851737717,0.06182314,2.60811469,-1.586108389,-1.1094626,-1.918644578,1.737716545,-0.685186836,-0.49500127,-0.772610943,0.427509523,-0.123659311,0.323848506,0.965996089,0.133827865,0.408971251,-0.84535634,3.748405587,1.305448235,0.593959412
3,1,2.069894737,-0.755984194,1.197085181,0.422615563,-0.850215835,-1.5108314,1.253159152,-0.083179923,-0.588173767,0.835773384,0.683000132,-0.819182728,0.160181258,-1.60058612,-0.160596172,1.069798833,-0.658100902,-0.829882725,-4.584521233,0.877714321,0.783717016,4.031337197,-2.404945055,-2.35323847,-0.159050645,-0.166098906,1.667438119,1.725392399,0.220712443,1.253159152,1.364778325,-0.380725548,-0.053370118,-0.055608624,1.358140202
4,3,-1.122048975,0.555665735,-1.805555286,-0.185835663,-0.345828913,0.350795847,0.477231941,-0.107639238,-0.209639636,0.411604855,-2.107716555,1.242306056,-0.248022078,-2.287081641,-0.600377242,2.537538622,1.96480085,1.216594967,-3.342159359,-1.104236715,0.161940143,-2.701178895,-0.141392258,-3.052065114,0.090029082,0.293121238,-1.762540595,0.42107195,0.508868025,0.477231941,-1.700476424,-1.006235071,1.703080213,-0.064904302,-1.167415656
5,0,0.475862139,-0.475542008,0.295098443,-0.703307097,-1.514718175,0.354724863,-0.798664105,0.631852237,1.496554173,-1.159835253,1.777569527,0.414127817,-0.328252489,1.773670233,-0.304448417,2.656097161,1.662699519,-0.533793981,-2.076308824,0.715085307,1.028710635,5.65713025,0.800744248,0.588782809,-0.852754842,1.114543096,-3.111905106,1.130732097,0.51572067,-0.798664105,0.558311305,-0.348990512,1.462157164,-0.137705226,0.744121326
6,2,-1.188376881,-0.785929092,2.286394369,0.522440357,1.159111058,-1.148594562,0.302382011,-0.518014256,-0.252625571,0.532120855,1.186262544,-0.805996526,0.700386849,0.83982493,1.068875253,2.52388116,1.912050326,-2.579973655,-1.970548092,1.841702616,-0.161232327,10.73132101,-1.460358259,4.313797199,0.852830219,0.230462431,-2.126616934,-1.213932194,0.557476817,0.302382011,0.59885719,0.831184027,-2.069594054,0.382882008,0.95906894
7,1,0.95844678,0.726761541,1.4506181,-0.964983758,-0.332804275,0.327687201,-2.594090791,-0.068190763,0.410112698,-0.589256618,-1.12557564,-0.530514015,0.258384703,1.644518263,1.114323664,-0.285373156,-4.385775703,1.680646952,-2.131283657,2.684216987,0.521641351,10.3044689,0.741773775,2.428461136,-0.150231667,0.127079038,0.458531181,0.4735403,-3.130044624,-2.594090791,0.221800346,0.480848268,-2.930921633,0.692067297,0.631195851
8,2,0.1128759,0.120542704,1.661238367,1.091538969,0.482123237,1.546474807,-1.117197333,-0.617177098,-1.379318112,-1.25146615,-0.859620722,0.909196406,0.234617977,0.943316125,1.463714039,2.124968811,-1.587634465,-0.293456799,-0.428645769,0.052423949,0.775823004,6.030078433,-0.389175404,0.995965242,-1.363337053,0.635192593,0.048236848,0.00862679,-0.376124146,-1.117197333,0.017198701,0.726453705,1.256187773,-0.581365773,-2.332793857
9,3,1.156515026,0.954767545,2.488566053,-1.043766146,0.088867724,-0.310804673,-1.328531495,-1.393902082,-0.308405874,0.273548105,0.25267995,-0.081039923,-0.16690879,-1.248401239,0.554170668,1.441077418,1.389461342,-1.249673148,-1.381663941,0.085972803,-1.397378706,3.804592642,-2.015637319,-1.658762587,-0.393477152,0.352199796,0.649960318,0.438755035,0.125258451,-1.328531495,-0.921383823,0.401828948,0.774609582,-0.123750238,-0.883091159
10,2,0.209328012,0.515432753,-0.482941301,-1.290006953,-0.465930766,-0.052214549,3.156814524,-0.052656359,0.415153227,0.738750696,1.81409384,-2.129385483,0.297917093,3.386976964,-1.196231455,-0.997595685,3.184488866,-1.850112713,3.108101739,-0.346012419,0.736148755,-6.680870273,0.568460595,-0.878777298,-0.841922766,0.353650682,0.05585239,-0.267953548,-0.213826623,3.156814524,2.542693651,-1.749083911,-1.443124405,0.377456115,0.005207614
11,1,1.691161538,0.666345243,-2.483879391,0.241807241,-0.795791021,0.211402803,0.018262545,-0.320549051,0.111407526,-0.919288112,1.743938457,-0.043681082,-0.557096483,1.186108008,0.200861763,-1.126295099,-1.223868115,-0.456430547,-0.014126355,0.014832553,0.550169349,-0.628949902,1.302918108,-0.974416369,0.440631063,0.831779759,0.715414061,0.959978895,-0.068053559,0.018262545,-1.524748118,-0.635439539,-2.619400736,-2.102673819,1.644560733
12,0,-0.628508833,0.618132659,1.248966838,-1.925379447,1.912514583,-1.115606319,-3.295881107,-0.154105457,-0.921365227,-0.58871449,1.591583946,-0.48572906,0.742594384,0.729321939,-0.832391191,3.104957555,0.044843353,-1.528341142,-0.801628553,-0.865776388,-0.76144085,10.30809727,-0.044513005,0.525834863,0.430214548,-0.585778444,0.615371981,1.82731655,0.281982382,-3.295881107,-1.503596568,-1.325288922,-1.617854223,-1.253761304,0.270390531
13,4,-0.10834229,-0.353690217,-0.890592036,-0.578213777,-0.147730399,-0.030941801,0.732158036,0.883323799,-1.316406939,-0.143188126,-0.863925702,0.490246287,0.459855746,0.521698818,1.178779299,-2.09736631,0.047019915,-1.4612181,2.484301119,-0.196694392,0.499813262,-5.995813146,-0.142669349,-0.348793419,-0.877323025,-0.093772204,-0.929128897,-0.692499376,1.045880203,0.732158036,-1.254689664,0.690785103,1.330319489,-1.148060395,1.972318158
14,1,1.012083487,-0.414313069,3.263460664,0.549292224,-0.926536326,-0.983898392,2.385336826,0.665455527,-1.67694765,-1.412697601,0.072240683,1.879365337,1.477575155,-2.204229264,-1.151277209,-0.172771486,-1.416212787,-1.680021705,2.475764172,0.16417172,0.409156217,0.345973505,-0.335349744,2.256867666,1.880523561,0.131689618,-0.460105842,-0.263771996,-0.565265585,2.385336826,1.398933987,0.00853579,1.990319243,0.875889572,-0.762549659
15,3,-0.908527348,0.931578963,-3.34821109,0.825755283,0.052052493,-0.671766235,2.669198737,1.592755196,-0.679302004,1.516967377,1.579113442,1.308614247,-3.171061727,-1.022940497,1.489899916,-1.757551704,-2.936151101,4.965362985,0.739729999,-0.476164104,-0.495403648,-9.332157016,-0.185643991,-1.041742712,0.035749002,1.073790095,-1.370363492,-0.146335815,-0.332420615,2.669198737,0.116556154,0.04622764,3.416723453,0.076219896,2.379411836
16,0,0.705742637,-1.21891187,-1.876820811,-0.23454268,1.194737144,0.333686252,1.393526721,-1.495669091,-0.260837905,0.483816605,-4.246651087,0.217662007,-0.408579506,2.300738696,0.637412787,0.893312612,1.512441475,3.046736821,-0.090105485,-0.990408498,-0.549735582,0.011017872,-0.800456566,5.500071717,-1.46253698,-0.090428279,-1.016545667,1.450488876,2.600016403,1.393526721,1.119263235,-0.905848097,-2.763384348,-0.898833346,0.172936748
